condition,n,rho12,rho23,a,b,c,d
1,50,0.2,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.2,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.2,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.5,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.5,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.5,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.8,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.8,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,50,0.8,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.2,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.2,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.2,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.5,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.5,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.5,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.8,0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.8,0,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
1,250,0.8,-0.2,0.482168724888498,1.46225621338167,-0.482168724888498,-0.136569761186909
